CELL IN,HCE IN,LIGC IN,LIGH IN,LIGO IN,,CELL,HCE,LIGC,LIGH,LIGO,CELLA,HCEA1,HCEA2,LIGOH,LIGCC,LIG,Char,HAA,GLYOX,C3H6O,HMFU,LVG,XYL,pCOUMARYL,PHENOL,FE2MACR,CH3CHO,ETOH,CH3OH,CO,CO2,CH4,CH2O,HCOOH,H2,C2H4,H2O,air
0.26311603,0.398852489,0.11267716,0.11267716,0.11267716,,4.16E-51,4.65E-39,-6.35E-56,-4.65E-67,5.76E-40,-1.71E-36,-5.43E-34,8.55E-37,7.15E-26,7.14E-14,5.62E-27,3.35E-18,10.29244475,1.884006037,4.934341588,5.11605088,0.000192498,6.50E-05,1.342960251,0.61579561,5.70E-05,1.176938701,1.528931185,6.221395648,17.03974708,67.1577862,2.741370603,8.277427728,0.738571624,0.717913015,4.250622324,2.18E-16,9.444447923
0.22659141,0.286704428,0.162234721,0.162234721,0.162234721,,0,5.28E-72,0,0,6.09E-64,2.20E-59,3.90E-59,2.72E-67,9.80E-38,3.35E-16,7.71E-39,1.25E-20,8.739725881,1.622476543,5.469411375,4.405863028,0.000165763,4.67E-05,1.933630554,0.886650043,5.55E-05,1.281133233,1.099031222,6.169318769,17.89075719,77.3440816,2.971010153,6.738169873,0.726445343,0.681507702,4.503748616,1.12E-18,10.51486293
0.345942833,0.330957921,0.107699749,0.107699749,0.107699749,,3.33E-50,-1.63E-38,0,0,-3.54E-39,2.60E-35,2.93E-33,-2.47E-36,-1.92E-25,-4.06E-14,-1.51E-26,-1.92E-18,12.36201316,2.477075944,5.730650856,6.726542433,0.000253097,5.40E-05,1.283632255,0.588592125,0.00012472,1.381351049,1.268669247,5.458655746,15.46124503,63.50471744,2.449789107,7.90288377,0.715719004,0.639671294,3.780030511,-1.24E-16,10.28691592
0.240813962,0.34633295,0.137617696,0.137617696,0.137617696,,4.65E-67,-7.81E-41,3.03E-62,1.11E-73,-2.07E-42,3.58E-38,-1.80E-35,-1.35E-37,1.15E-26,5.39E-14,9.07E-28,2.57E-18,9.416231733,1.724315166,5.161464032,4.682407562,0.000176167,5.65E-05,1.640206868,0.752087391,7.45E-05,1.218689808,1.327606726,6.233081546,17.54226215,72.41434557,2.870290713,7.528952138,0.733638407,0.703677574,4.399976,1.65E-16,9.936031242
0.268277526,0.319265369,0.137485702,0.137485702,0.137485702,,9.92E-58,-2.36E-40,-2.42E-61,1.18E-64,-1.66E-41,-1.41E-37,-6.07E-35,-3.97E-37,3.28E-26,1.15E-13,2.58E-27,5.46E-18,10.0819344,1.920964224,5.453974483,5.21641147,0.000196257,5.20E-05,1.638637135,0.751376619,7.18E-05,1.292744299,1.2238479,5.967867619,17.02354665,71.47790015,2.77678597,7.350150072,0.725372651,0.675429123,4.24547883,3.52E-16,10.26165432
0.284025678,0.310167537,0.135268928,0.135268928,0.135268928,,-1.11E-118,-2.23E-74,0,0,7.01E-67,7.50E-61,1.25E-60,8.12E-69,1.60E-39,2.05E-17,1.26E-40,1.21E-21,10.49262874,2.033726692,5.581695301,5.522619896,0.000207793,5.06E-05,1.61226062,0.73927041,5.10E-05,1.326463116,1.188972947,5.83347644,16.71884527,70.55361326,2.718570285,7.324698845,0.721657166,0.662410052,4.154924998,7.82E-20,10.38327084
0.228171164,0.223264767,0.18285469,0.18285469,0.18285469,,9.63E-70,1.65E-40,-4.43E-67,0,9.64E-39,1.11E-34,1.88E-33,4.22E-37,2.53E-23,5.96E-14,2.00E-24,2.80E-18,8.499228888,1.633788148,5.872123149,4.436579886,0.000166919,3.64E-05,2.179322449,0.999307517,9.68E-05,1.369966061,0.855846395,5.984684952,17.92880525,81.02474091,3.009707509,5.985524061,0.716266174,0.649044084,4.514575578,1.87E-16,11.16146479
0.208967964,0.32233723,0.156231602,0.156231602,0.156231602,,0,-1.90E-73,0,0,5.19E-65,1.47E-59,3.68E-59,2.17E-67,7.88E-38,3.48E-16,6.20E-39,1.67E-20,8.394808423,1.496286287,5.167776869,4.06319121,0.00015288,5.26E-05,1.861999434,0.853797684,6.12E-05,1.208619523,1.235623338,6.389390389,18.20373303,76.84209374,3.018030463,7.071978655,0.73459649,0.708754738,4.596976651,8.21E-19,10.12050414
0.204207507,0.36588537,0.143302374,0.143302374,0.143302374,,-4.78E-61,5.47E-36,-2.95E-64,-2.65E-68,2.13E-34,2.29E-30,6.01E-29,1.51E-32,2.27E-19,1.49E-10,1.79E-20,7.75E-15,8.454465297,1.462199688,4.874565263,3.970628463,0.000149387,5.97E-05,1.7079636,0.783164153,0.000118059,1.142520372,1.402557513,6.541201788,18.25212548,74.65997584,3.006745884,7.568994262,0.742040094,0.733127303,4.611097597,4.75E-13,9.669635665
0.220155344,0.398750225,0.127031477,0.127031477,0.127031477,,-1.30E-52,1.78E-40,-2.03E-54,4.96E-58,3.41E-41,-1.52E-36,-1.54E-34,-3.78E-37,1.33E-26,4.84E-15,1.04E-27,2.31E-19,9.059893469,1.576391974,4.741501198,4.280719585,0.000161067,6.50E-05,1.514042134,0.694244525,6.77E-05,1.119148306,1.52853917,6.52023898,17.89745797,71.18411583,2.917811503,8.047991429,0.744869525,0.740918906,4.505919685,1.47E-17,9.365799166
